queryUsed,noticeId,tenderRef,title,buyer,publicationDate,lifecycleStage,noticeUrl,documentUrl,matchedEvidence,evidenceLocation,proposedDecision,reason
area:oncology,385209-2025,2024/28597,Norway – CT scanners – CT Volda and AIO Ålesund HMR,SYKEHUSINNKJØP HF,2025-06-16,competition,https://ted.europa.eu/en/notice/-/detail/385209-2025,https://ted.europa.eu/en/notice/-/detail/385209-2025,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,348297-2025,2025/44474,"Norway – CT scanners – Contract award: CT for Odda hospital, Helse Fonna HF",SYKEHUSINNKJØP HF,2025-05-30,award,https://ted.europa.eu/en/notice/-/detail/348297-2025,https://ted.europa.eu/en/notice/-/detail/348297-2025,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,346688-2025,2024/28597,Norway – CT scanners – CT Volda and AIO Ålesund HMR,SYKEHUSINNKJØP HF,2025-05-30,competition,https://ted.europa.eu/en/notice/-/detail/346688-2025,https://ted.europa.eu/en/notice/-/detail/346688-2025,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,306800-2025,2025/48763,Norway – Pharmaceutical products – Intention notice: Contract Xtandi (enzalutamid),SYKEHUSINNKJØP HF,2025-05-13,voluntary_ex_ante,https://ted.europa.eu/en/notice/-/detail/306800-2025,https://ted.europa.eu/en/notice/-/detail/306800-2025,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,283990-2025,2025/39159,Norway – Magnetic resonance scanners – MR for Akershus Universitetssykehus HF,SYKEHUSINNKJØP HF,2025-05-02,competition,https://ted.europa.eu/en/notice/-/detail/283990-2025,https://ted.europa.eu/en/notice/-/detail/283990-2025,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,191405-2025,2022/15080,Norway – Pharmaceutical products – Intention notice - Additional contract for 2407gj Etoposid 50mg capsule. ATC code L01C B01,SYKEHUSINNKJØP HF,2025-03-25,award,https://ted.europa.eu/en/notice/-/detail/191405-2025,https://ted.europa.eu/en/notice/-/detail/191405-2025,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,97850-2025,2024/32718,Norway – Pharmaceutical products – Prior information notice: 2707gj Oncology not patented,SYKEHUSINNKJØP HF,2025-02-13,pin-only,https://ted.europa.eu/en/notice/-/detail/97850-2025,https://ted.europa.eu/en/notice/-/detail/97850-2025,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,91331-2025,2023/17956,Norway – Pharmaceutical products – 2507 Oncology,SYKEHUSINNKJØP HF,2025-02-11,competition,https://ted.europa.eu/en/notice/-/detail/91331-2025,https://ted.europa.eu/en/notice/-/detail/91331-2025,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,72576-2025,2022/235,"Norway – Pharmaceutical products – DRAFT Intention Notice - Additional contract for 2407gj, Merkaptopurin 50mg tab. ATC code L01B B02",SYKEHUSINNKJØP HF,2025-02-03,award,https://ted.europa.eu/en/notice/-/detail/72576-2025,https://ted.europa.eu/en/notice/-/detail/72576-2025,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,73321-2025,24/02126,"Norway – Administrative healthcare services – Procurement scheme - Delivery of expert services from doctor specialists, dentist specialists, dentists and specialised nurses for The Norwegian Patient Injury Compensation.",Norsk pasientskadeerstatning (NPE),2025-02-03,cn-social,https://ted.europa.eu/en/notice/-/detail/73321-2025,https://ted.europa.eu/en/notice/-/detail/73321-2025,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,27693-2025,2022/235,"Norway – Pharmaceutical products – Intention notice – Additional agreement for 2407gj, calcium pholinat injection ATC code V03AF03",SYKEHUSINNKJØP HF,2025-01-15,award,https://ted.europa.eu/en/notice/-/detail/27693-2025,https://ted.europa.eu/en/notice/-/detail/27693-2025,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,23741-2025,2024/413,"Norway – CT scanners – CT for Odda hospital, Helse Fonna HF",SYKEHUSINNKJØP HF,2025-01-14,competition,https://ted.europa.eu/en/notice/-/detail/23741-2025,https://ted.europa.eu/en/notice/-/detail/23741-2025,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,9237-2025,2023/503,Norway – Medical information systems – Contract award: Dose planning and oncology system for radiotherapy (TPS and OIS) for The Project New Hospital in Drammen.,SYKEHUSINNKJØP HF,2025-01-08,award,https://ted.europa.eu/en/notice/-/detail/9237-2025,https://ted.europa.eu/en/notice/-/detail/9237-2025,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,782854-2024,2024/153,"Norway – CT scanners – CT for Sørlandet Hospital, Kristiansand",SYKEHUSINNKJØP HF,2024-12-20,award,https://ted.europa.eu/en/notice/-/detail/782854-2024,https://ted.europa.eu/en/notice/-/detail/782854-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,657604-2024,2024/1415,Norway – Pharmaceutical products – Intention notice - additional contract for 2407gj Cytarabin inj. ATC code L01BC01,SYKEHUSINNKJØP HF,2024-10-29,award,https://ted.europa.eu/en/notice/-/detail/657604-2024,https://ted.europa.eu/en/notice/-/detail/657604-2024,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,522128-2024,2024/1125,Norway – Pharmaceutical products – Prior information notice: 2507 Oncology,SYKEHUSINNKJØP HF,2024-08-30,pin-only,https://ted.europa.eu/en/notice/-/detail/522128-2024,https://ted.europa.eu/en/notice/-/detail/522128-2024,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,520888-2024,2022/235,"Norway – Pharmaceutical products – Intention notice - Additional contract for 2407gj, methylamineolevulinate cream ATC code L01XD03",SYKEHUSINNKJØP HF,2024-08-30,award,https://ted.europa.eu/en/notice/-/detail/520888-2024,https://ted.europa.eu/en/notice/-/detail/520888-2024,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,514961-2024,76951,Norway – CT scanners – 76951 RAD KRN Department for Nuclear Medicine PET/CT,Oslo Universitetssykehus HF (hovedenhet),2024-08-28,competition,https://ted.europa.eu/en/notice/-/detail/514961-2024,https://ted.europa.eu/en/notice/-/detail/514961-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,512792-2024,76951,Norway – CT scanners – 76951 RAD KRN Department for Nuclear Medicine PET/CT,Oslo Universitetssykehus HF (hovedenhet),2024-08-27,competition,https://ted.europa.eu/en/notice/-/detail/512792-2024,https://ted.europa.eu/en/notice/-/detail/512792-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,490478-2024,2024/153,"Norway – CT scanners – CT for Sørlandet Hospital, Kristiansand",SYKEHUSINNKJØP HF,2024-08-14,competition,https://ted.europa.eu/en/notice/-/detail/490478-2024,https://ted.europa.eu/en/notice/-/detail/490478-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,282482-2024,2023/1409,Norway – Pharmaceutical products – Additional contract for 2407 Oncology - Brukinsa (zanubrutinib),SYKEHUSINNKJØP HF,2024-05-14,voluntary_ex_ante,https://ted.europa.eu/en/notice/-/detail/282482-2024,https://ted.europa.eu/en/notice/-/detail/282482-2024,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,263361-2024,2024/719,"Sweden, Denmark, Spain, Estonia, Belgium, Poland, Norway, Türkiye, Portugal, France, United Kingdom, Italy, Greece – Research and development services and related consultancy services – Open Market Consultation of PROCURE4HEALTH for the future Pre Commercial Procurement of R&D services concerning home based care and remote monitoring.",SYKEHUSINNKJØP HF,2024-05-03,pin-only,https://ted.europa.eu/en/notice/-/detail/263361-2024,https://ted.europa.eu/en/notice/-/detail/263361-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,158396-2024,2023/709,"Norway – Supply services of personnel including temporary staff – (NEW) Temporary staff services, medical specialist, psychologist and other health personnel for the health authorities in Norway.",SYKEHUSINNKJØP HF,2024-03-15,competition,https://ted.europa.eu/en/notice/-/detail/158396-2024,https://ted.europa.eu/en/notice/-/detail/158396-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,154320-2024,2023/709,"Norway – Supply services of personnel including temporary staff – (NEW) Temporary staff services, medical specialist, psychologist and other health personnel for the health authorities in Norway.",SYKEHUSINNKJØP HF,2024-03-14,competition,https://ted.europa.eu/en/notice/-/detail/154320-2024,https://ted.europa.eu/en/notice/-/detail/154320-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,150608-2024,2023/709,"Norway – Supply services of personnel including temporary staff – (NEW) Temporary staff services, medical specialist, psychologist and other health personnel for the health authorities in Norway.",SYKEHUSINNKJØP HF,2024-03-13,competition,https://ted.europa.eu/en/notice/-/detail/150608-2024,https://ted.europa.eu/en/notice/-/detail/150608-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,146581-2024,2023/709,"Norway – Supply services of personnel including temporary staff – Temporary staff services, medical specialist, psychologist and other health personnel for the health authorities in Norway.",SYKEHUSINNKJØP HF,2024-03-11,competition,https://ted.europa.eu/en/notice/-/detail/146581-2024,https://ted.europa.eu/en/notice/-/detail/146581-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,139656-2024,2023/709,"Norway – Supply services of personnel including temporary staff – Temporary staff services, medical specialist, psychologist and other health personnel for the health authorities in Norway.",SYKEHUSINNKJØP HF,2024-03-07,competition,https://ted.europa.eu/en/notice/-/detail/139656-2024,https://ted.europa.eu/en/notice/-/detail/139656-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,135641-2024,2023/709,"Norway – Supply services of personnel including temporary staff – Temporary staff services, medical specialist, psychologist and other health personnel for the health authorities in Norway.",SYKEHUSINNKJØP HF,2024-03-06,award,https://ted.europa.eu/en/notice/-/detail/135641-2024,https://ted.europa.eu/en/notice/-/detail/135641-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,123472-2024,2023/709,"Norway – Supply services of personnel including temporary staff – Temporary staff services, medical specialist, psychologist and other health personnel for the health authorities in Norway.",SYKEHUSINNKJØP HF,2024-02-28,competition,https://ted.europa.eu/en/notice/-/detail/123472-2024,https://ted.europa.eu/en/notice/-/detail/123472-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,120085-2024,2023/709,"Norway – Supply services of personnel including temporary staff – Temporary staff services, medical specialist, psychologist and other health personnel for the health authorities in Norway.",SYKEHUSINNKJØP HF,2024-02-27,competition,https://ted.europa.eu/en/notice/-/detail/120085-2024,https://ted.europa.eu/en/notice/-/detail/120085-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,119155-2024,2023/1409,Norway – Pharmaceutical products – 2407 Oncology,SYKEHUSINNKJØP HF,2024-02-27,competition,https://ted.europa.eu/en/notice/-/detail/119155-2024,https://ted.europa.eu/en/notice/-/detail/119155-2024,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,106678-2024,2023/709,"Norway – Supply services of personnel including temporary staff – Temporary staff services, medical specialist, psychologist and other health personnel for the health authorities in Norway.",SYKEHUSINNKJØP HF,2024-02-21,competition,https://ted.europa.eu/en/notice/-/detail/106678-2024,https://ted.europa.eu/en/notice/-/detail/106678-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,105911-2024,2023/709,"Norway – Supply services of personnel including temporary staff – Temporary staff services, medical specialist, psychologist and other health personnel for the health authorities in Norway.",SYKEHUSINNKJØP HF,2024-02-20,competition,https://ted.europa.eu/en/notice/-/detail/105911-2024,https://ted.europa.eu/en/notice/-/detail/105911-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,101498-2024,2023/1044,"Norway – IT services: consulting, software development, Internet and support – Qualification - ICT system for medicament cancer treatment for The South-East Regional Health Authority.",SYKEHUSINNKJØP HF,2024-02-19,competition,https://ted.europa.eu/en/notice/-/detail/101498-2024,https://ted.europa.eu/en/notice/-/detail/101498-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,96843-2024,2023/709,"Norway – Supply services of personnel including temporary staff – Temporary staff services, medical specialist, psychologist and other health personnel for the health authorities in Norway.",SYKEHUSINNKJØP HF,2024-02-15,competition,https://ted.europa.eu/en/notice/-/detail/96843-2024,https://ted.europa.eu/en/notice/-/detail/96843-2024,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,72395-2024,2023/1409,Norway – Pharmaceutical products – 2407 Oncology,SYKEHUSINNKJØP HF,2024-02-02,competition,https://ted.europa.eu/en/notice/-/detail/72395-2024,https://ted.europa.eu/en/notice/-/detail/72395-2024,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,779954-2023,,Norway-Vadsø: CT scanners,SYKEHUSINNKJØP HF,2023-12-22,award,https://ted.europa.eu/en/notice/-/detail/779954-2023,https://ted.europa.eu/en/notice/-/detail/779954-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,706109-2023,,Norway-Trondheim: Medical practice and related services,Norsk Helsenett SF,2023-11-21,can-social,https://ted.europa.eu/en/notice/-/detail/706109-2023,https://ted.europa.eu/en/notice/-/detail/706109-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,632986-2023,,Norway-Vadsø: Pharmaceutical products,SYKEHUSINNKJØP HF,2023-10-19,pin-only,https://ted.europa.eu/en/notice/-/detail/632986-2023,https://ted.europa.eu/en/notice/-/detail/632986-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,506808-2023,,Norway-Hamar: Magnetic resonance unit,Helse Sør-Øst RHF,2023-08-22,award,https://ted.europa.eu/en/notice/-/detail/506808-2023,https://ted.europa.eu/en/notice/-/detail/506808-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,477933-2023,,Norway-Vadsø: CT scanners,SYKEHUSINNKJØP HF,2023-08-07,award,https://ted.europa.eu/en/notice/-/detail/477933-2023,https://ted.europa.eu/en/notice/-/detail/477933-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,474223-2023,,Norway-Vadsø: CT scanners,SYKEHUSINNKJØP HF,2023-08-04,competition,https://ted.europa.eu/en/notice/-/detail/474223-2023,https://ted.europa.eu/en/notice/-/detail/474223-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,426225-2023,,Norway-Vadsø: CT scanners,SYKEHUSINNKJØP HF,2023-07-14,competition,https://ted.europa.eu/en/notice/-/detail/426225-2023,https://ted.europa.eu/en/notice/-/detail/426225-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,422762-2023,,Norway-Vadsø: CT scanners,SYKEHUSINNKJØP HF,2023-07-12,award,https://ted.europa.eu/en/notice/-/detail/422762-2023,https://ted.europa.eu/en/notice/-/detail/422762-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,412320-2023,,Norway-Vadsø: Supply services of personnel including temporary staff,SYKEHUSINNKJØP HF,2023-07-07,pin-only,https://ted.europa.eu/en/notice/-/detail/412320-2023,https://ted.europa.eu/en/notice/-/detail/412320-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,404038-2023,,Norway-Vadsø: Magnetic resonance scanners,SYKEHUSINNKJØP HF,2023-07-05,award,https://ted.europa.eu/en/notice/-/detail/404038-2023,https://ted.europa.eu/en/notice/-/detail/404038-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,399305-2023,,Norway-Vadsø: CT scanners,SYKEHUSINNKJØP HF,2023-07-04,award,https://ted.europa.eu/en/notice/-/detail/399305-2023,https://ted.europa.eu/en/notice/-/detail/399305-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,396019-2023,,Norway-Vadsø: Medical information systems,SYKEHUSINNKJØP HF,2023-07-03,competition,https://ted.europa.eu/en/notice/-/detail/396019-2023,https://ted.europa.eu/en/notice/-/detail/396019-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,313874-2023,,Norway-Vadsø: Pharmaceutical products,SYKEHUSINNKJØP HF,2023-05-26,corrigendum,https://ted.europa.eu/en/notice/-/detail/313874-2023,https://ted.europa.eu/en/notice/-/detail/313874-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,295678-2023,,Norway-Vadsø: Pharmaceutical products,SYKEHUSINNKJØP HF,2023-05-19,competition,https://ted.europa.eu/en/notice/-/detail/295678-2023,https://ted.europa.eu/en/notice/-/detail/295678-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,254491-2023,,Norway-Vadsø: CT scanners,SYKEHUSINNKJØP HF,2023-04-28,competition,https://ted.europa.eu/en/notice/-/detail/254491-2023,https://ted.europa.eu/en/notice/-/detail/254491-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,225451-2023,,Norway-Vadsø: CT scanners,SYKEHUSINNKJØP HF,2023-04-17,competition,https://ted.europa.eu/en/notice/-/detail/225451-2023,https://ted.europa.eu/en/notice/-/detail/225451-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,189919-2023,,Norway-Vadsø: Magnetic resonance scanners,SYKEHUSINNKJØP HF,2023-03-31,competition,https://ted.europa.eu/en/notice/-/detail/189919-2023,https://ted.europa.eu/en/notice/-/detail/189919-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,189161-2023,,Norway-Vadsø: Medical equipments,SYKEHUSINNKJØP HF,2023-03-30,award,https://ted.europa.eu/en/notice/-/detail/189161-2023,https://ted.europa.eu/en/notice/-/detail/189161-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,175083-2023,,Norway-Trondheim: Medical practice and related services,Norsk Helsenett SF,2023-03-24,cn-social,https://ted.europa.eu/en/notice/-/detail/175083-2023,https://ted.europa.eu/en/notice/-/detail/175083-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,159462-2023,,"Norway-Oslo: Laboratory, optical and precision equipments (excl. glasses)",Oslo Universitetssykehus HF (hovedenhet),2023-03-17,voluntary_ex_ante,https://ted.europa.eu/en/notice/-/detail/159462-2023,https://ted.europa.eu/en/notice/-/detail/159462-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,130232-2023,2022/1544,2307 Oncology,SYKEHUSINNKJØP HF,2023-03-03,competition,https://ted.europa.eu/en/notice/-/detail/130232-2023,https://permalink.mercell.com/197314815.aspx;https://ted.europa.eu/en/notice/-/detail/130232-2023,Oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,46677-2023,,Norway-Vadsø: Medical software package,SYKEHUSINNKJØP HF,2023-01-24,pin-only,https://ted.europa.eu/en/notice/-/detail/46677-2023,https://ted.europa.eu/en/notice/-/detail/46677-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,13565-2023,2022/235,"Prior information notice: 2407 g and j, diverse chemotherapeutic tablets and insertion/injection",SYKEHUSINNKJØP HF,2023-01-09,prior_information,https://ted.europa.eu/en/notice/-/detail/13565-2023,https://permalink.mercell.com/189521024.aspx;https://ted.europa.eu/en/notice/-/detail/13565-2023,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
area:oncology,685382-2022,2022/230,Voluntary ex ante transparency notice: 2207j-1 Tilleggsavtale div. ureg L01DA01 Lyovac-Cosmegen fm,SYKEHUSINNKJØP HF,2022-12-09,V,https://ted.europa.eu/en/notice/-/detail/685382-2022,https://permalink.mercell.com/191804672.aspx;https://ted.europa.eu/en/notice/-/detail/685382-2022,oncology,notice_query_match,needs_review,Broad oncology/urology candidate; Axitinib not in notice title
